id	name	year	data1	data2
E13	Spaarndammer- en Zeeheldenbuurt	2010	9968	4991
E14	Staatsliedenbuurt	2010	11921	5998
E15	Centrale Markt	2010	2585	1218
E16	Frederik Hendrikbuurt	2010	7834	3918
E17	Da Costabuurt	2010	4395	2232
E18	Kinkerbuurt	2010	5140	2634
E19	Van Lennepbuurt	2010	6775	3368
E20	Helmersbuurt	2010	7120	3413
E21	Overtoomse Sluis	2010	7243	3519
E22	Vondelbuurt	2010	1730	864
E36	Sloterdijk	2010	186	124
E37	Landlust	2010	17966	9011
E38	Erasmuspark	2010	5500	2722
E39	De Kolenkit	2010	7313	3702
E40	Geuzenbuurt	2010	6487	3161
E41	Van Galenbuurt	2010	5502	2713
E42	Hoofdweg e,o,	2010	10026	4956
E43	Westindische Buurt	2010	6393	3091
E75	Chassébuurt	2010	5462	2705
F11	Bedrijventerrein Sloterdijk	2010	69	46
F76	Slotermeer-Noordoost	2010	9177	4731
F77	Slotermeer-Zuidwest	2010	16069	8042
F78	Geuzenveld	2010	12822	6409
F79	Eendracht	2010	2335	1127
F80	Lutkemeer/Ookmeer	2010	880	431
F81	Osdorp-Oost	2010	15054	7153
F82	Osdorp-Midden	2010	13442	6473
F83	De Punt	2010	5113	2477
F84	Middelveldsche Akerpolder	2010	14341	7077
F85	Slotervaart-Noord	2010	7584	3728
F86	Overtoomse Veld	2010	10475	5195
F87	Westlandgracht	2010	5154	2703
F88	Sloter-/Riekerpolder	2010	13839	6787
F89	Slotervaart-Zuid	2010	8901	4185
K23	Zuidas	2010	226	142
K24	Oude Pijp	2010	13771	6984
K25	Nieuwe Pijp	2010	11539	5594
K26	Zuid-Pijp	2010	7976	3867
K44	Hoofddorppleinbuurt	2010	10846	4988
K45	Schinkelbuurt	2010	3727	1784
K46	Willemspark	2010	5233	2600
K47	Museumkwartier	2010	12560	6057
K48	Stadionbuurt	2010	12058	6031
K49	Apollobuurt	2010	8167	3821
K52	Scheldebuurt	2010	13720	6330
K53	IJselbuurt	2010	5041	2423
K54	Rijnbuurt	2010	8635	3974
K59	Prinses Irenebuurt e,o,	2010	1185	537
K90	Buitenveldert-West	2010	12062	5504
K91	Buitenveldert-Oost	2010	7062	3137
M27	Weesperzijde	2010	4648	2388
M28	Oosterparkbuurt	2010	10253	5171
M29	Dapperbuurt	2010	7975	3955
M30	Transvaalbuurt	2010	9301	4691
M31	Indische Buurt-West	2010	12061	6223
M32	Indische Buurt-Oost	2010	10425	5257
M33	Oostelijk Havengebied	2010	17670	8996
M34	Zeeburgereiland/Nieuwe diep	2010	468	242
M35	IJburg-West	2010	11842	5868
M50	IJburg-Oost	2010		0
M51	IJburg-Zuid	2010	3660	1762
M55	Frankendael	2010	9695	4608
M56	Middenmeer	2010	13526	6451
M57	Betondorp	2010	3074	1440
M58	Omval/Overamstel	2010	2017	1026
N60	Volewijck	2010	9395	4668
N61	IJplein/Vogelbuurt	2010	8310	4202
N62	Tuindorp Nieuwendam	2010	3425	1584
N63	Tuindorp Buiksloot	2010	1904	923
N64	Nieuwendammerdijk/Buiksloterdijk	2010	1687	843
N65	Tuindorp Oostzaan	2010	10373	5014
N66	Oostzanerwerf	2010	8719	4233
N67	Kadoelen	2010	2907	1389
N68	Waterlandpleinbuurt	2010	12216	5761
N69	Buikslotermeer	2010	10662	4974
N70	Banne Buiksloot	2010	12518	5998
N71	Noordelijke IJ-oevers-West	2010	651	351
N72	Noordelijke IJ-oevers-Oost	2010	136	81
N73	Waterland	2010	2142	1081
N74	Elzenhagen	2010	1282	610
T92	Amstel III/Bullewijk	2010	178	136
T93	Bijlmer-Centrum (D,F,H)	2010	20830	10440
T94	Bijlmer-Oost (E,G,K)	2010	25853	12821
T95	Nellestein	2010	2839	1422
T96	Holendrecht/Reigersbos	2010	18421	8606
T97	Gein	2010	11878	5737
T98	Driemond	2010	1509	744
Z99	buiten beschouwing	2010		0
A00	Burgwallen-Oude Zijde	2011	3928	2220
A01	Burgwallen-Nieuwe Zijde	2011	4147	2397
A02	Grachtengordel-West	2011	6337	3323
A03	Grachtengordel-Zuid	2011	5293	2863
A04	Nieuwmarkt/Lastage	2011	9008	4723
A05	Haarlemmerbuurt	2011	8925	4506
A06	Jordaan	2011	18979	9663
A07	De Weteringschans	2011	7101	3668
A08	Weesperbuurt/Plantage	2011	7752	3897
A09	Oostelijke Eilanden/Kadijken	2011	12557	6293
B10	Westelijk Havengebied	2011	249	165
E12	Houthavens	2011	1943	880
E13	Spaarndammer- en Zeeheldenbuurt	2011	10319	5157
E14	Staatsliedenbuurt	2011	12094	6060
E15	Centrale Markt	2011	2595	1242
E16	Frederik Hendrikbuurt	2011	7923	3955
E17	Da Costabuurt	2011	4429	2250
E18	Kinkerbuurt	2011	5172	2627
E19	Van Lennepbuurt	2011	6824	3382
E20	Helmersbuurt	2011	7235	3460
